region,county,salesperson,sales
West,Pecos,QM,45
South,Webb,QJ,40
North,Hartley,WE,37
North,Hartley,PL,37
North,Floyd,WH,37
East,Tyler,UF,35
North,Floyd,UA,34
North,Motley,EH,34
North,Gray,ES,31
West,Presidio,SV,30
North,Gray,XY,28
South,Webb,RR,26
West,Pecos,WV,25
South,Zavala,FL,24
North,Dallam,JE,23
West,Pecos,WZ,23
East,Houston,YN,23
North,Motley,MW,21
South,Zavala,YA,21
North,Moore,TZ,20
West,Brewster,IK,20
South,Zavala,IV,20
East,Rusk,OY,20
East,Tyler,JC,17
South,Hidalgo,LQ,16
East,Shelby,NZ,16
North,Motley,NY,15
West,Presidio,DQ,15
West,Brewster,BS,14
North,Dallam,ZQ,13
North,Moore,ZM,13
North,Gray,YJ,13
South,Hidalgo,LV,11
West,Presidio,OT,9
South,Duval,DS,9
East,Houston,AX,9
North,Hartley,BI,8
West,Brewster,JF,8
East,Rusk,HW,8
East,Rusk,UM,8
East,Houston,QK,8
South,Duval,FJ,7
South,Hidalgo,LR,7
North,Dallam,IJ,6
North,Moore,TW,6
North,Floyd,OH,6
South,Webb,KR,6
South,Duval,GW,6
East,Shelby,VN,6
East,Shelby,XH,6
East,Tyler,GT,4
